uf,municipality,district,sub_district,tract,urban_rural,place,address_1,address_2,house_number,modifier,complement1,value_1,complement_2,value_2,complement_3,value_3,complement4,value_4,complement_5,value_5,complement_6,value_6,latitude,longitude,borough,nil,landuse_id,landuse_description,multiple,collective_name,block_number,face_number,post_code,code_tract
35,49904,5,0,137,1,AVENIDA,PRINCESA,ISABEL,1826,NA,FUNDOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTANA,NA,6,ARQUITETURA,1,NA,3,6,12211620,354990405000137
52,1405,10,0,218,1,AVENIDA,SAO,PAULO,0,SN,QUADRA,10,LOTE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VILA BRASILIA,NA,6,PRODUTOS AUTOMOTIVOS,1,NA,2,1,74905770,520140510000218
42,17808,5,0,14,2,RODOVIA,NA,SC 422,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27 05 55.3320 S,50 00 27.0780 O,RIBEIRAO PEQUENO,NA,3,CULTIVO DE ARROZ,NA,NA,0,0,89190000,421780805000014
35,34401,5,0,562,1,RUA,NA,JULIO DANTAS,120,NA,ARMAZEM,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VILA MENC,NA,6,EMPORIO E BAR,1,NA,4,1,6273030,353440105000562
21,10005,5,0,89,2,ESTRADA,NA,PARA O CAJA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LARANJEIRA,NA,3,FAZENDA,NA,NA,0,0,65390000,211000505000089
29,33307,5,0,12,1,RUA,NA,MARTA VASCONCELOS,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA DE VARIEDADES DEPOSITO DOS IMPORTAD,1,NA,15,2,45000725,293330705000012
43,8409,5,0,3,1,RUA,SAO,JOAO,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA DE ROUPAS,1,NA,3,2,97210000,430840905000003
35,35606,5,0,13,2,BAIRRO,NA,ALEGRE,0,00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23 34 14.8440 S,45 43 10.4820 O,PARAIBUNA,NA,6,IGREJA,1,NA,0,0,12260000,353560605000013
23,8708,30,0,1,1,TRAVESSA,NA,SEM DENOMINACAO 9,253,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRAS,NA,6,CORREIOS,1,NA,9,2,62940000,230870830000001
43,14605,20,0,5,2,ESTRADA,NA,PIRATINI 510,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31 21 14.6280 S,53 14 20.8500 O,SERRA DAS MERCEDES,NA,3,SITIO,NA,NA,0,0,96490000,431460520000005
31,48707,5,0,29,1,AVENIDA,NA,EMILIANO NEVES,65,NA,TERREO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRA  AZUL,NA,6,GARAGEM,1,NA,16,2,39970000,314870705000029
41,6902,5,5,231,1,RUA,PADRE,PAULO WARKOCZ,29,NA,LOJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIDADE INDUSTRIAL,NA,6,MODAS FEMININAS,1,NA,2,4,81280220,410690205050231
23,5704,10,0,2,2,AVENIDA,NA,VALTER ROLIM,199,SUCAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06 50 5.8740 S,38 44 30.7980 O,FELIZARDO,NA,6,LANCHONETE E BAR,1,NA,0,0,63340000,230570410000002
15,1402,55,0,244,1,AVENIDA,NA,CELSO MALCHER,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERRA FIRME,NA,6,MERCARDO,1,NA,7,3,66070790,150140255000244
41,1804,5,0,119,2,ESTRADA,NA,CATANDUVAS,0,NA,SITIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAGOA GRANDE,NA,3,PLANTCAO DE SOJA,NA,NA,2,6,83700970,410180405000119
15,347,5,0,25,2,VICINAL,NA,CONTINENTAL,0,SN,SITIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,CRIACAO DE GADO,NA,NA,0,0,68533000,150034705000025
29,27408,5,13,57,1,RUA,NA,IRIGUACU,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARIPE,NA,6,MATERIAIS DE CONSTRUCAO,1,NA,1,1,40820110,292740805130057
43,6809,5,0,9,1,RUA,SANTA,CATARINA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTA CLARA,NA,6,REFEITORIO DO CURTUME,1,NA,3,3,95960000,430680905000009
21,6672,5,0,14,2,POVOADO,NA,TUCUNS,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 35 41.1660 S,42 40 50.9580 O,POVOADO TUCUNS,NA,6,CASA DE EVENTOS,1,NA,0,0,65545000,210667205000014
35,18800,5,0,115,1,AVENIDA,NA,GUARULHOS,3498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PONTE GRANDE,NA,6,CONTRA MAO CENTRO AUTOMOTIVO,1,NA,6,5,7031001,351880005000115
27,3007,5,0,7,2,SITIO,NA,PAUS BRANCO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 02 3.4260 S,35 56 28.5660 O,PAU BRANCO,NA,3,ESTIBARIA,NA,NA,0,0,57890000,270300705000007
31,18601,10,5,9,1,AVENIDA,NA,JONAS SOARES,180,NA,SALA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARQUE INDUSTRIAL,NA,6,VAGO,1,NA,3,2,32000000,311860110050009
43,14050,5,0,69,1,RUA,NA,DJALMO HAACK,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALEXANDRIA,NA,6,POSTO DE LAVAGEM,1,NA,1,4,95630000,431405005000069
25,9701,5,0,27,2,SITIO,NA,TAPAGEM,9,FNS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07 58 56.6040 S,37 10 34.2780 O,TAPAGEM,NA,3,CASA,NA,NA,0,0,58500000,250970105000027
52,1405,5,0,111,1,RUA,NA,ZENITH SIRTERDI BEZERRA,0,SN,QUADRA,40,LOTE,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROSA DOS VENTOS,NA,6,ASSEMBLEIA CAMPO DE CAMPINAS,1,NA,17,2,74000000,520140505000111
33,456,5,4,108,1,RUA,NA,SERGIO RUBENS,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM TUPIARA,NA,6,LOJA DE ROUPAS,1,NA,2,2,26183760,330045605040108
14,100,5,0,203,1,RUA,NA,ADAIL OLIVEIRA ROSA,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SILVIO LEITE,NA,6,POUSADA SEDUCAO,1,NA,7,3,69314296,140010005000203
31,69901,5,0,4,1,AVENIDA,NA,RAUL SOARES,0,SN,GALERIA,NA,SALA,201,ANDAR,4,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ESCRITORIO DE ADVOCACIA,1,NA,3,3,36500000,316990105000004
42,10308,5,0,5,2,ESTRADA,NA,RIO NOVO DE CIMA,0,SN,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RIO NOVO,NA,3,CULTURA DE SOJA,NA,NA,0,0,89480000,421030805000005
35,16705,5,0,48,1,AVENIDA,NA,FAUSTINA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LABIENOPOLIS,NA,6,OFICINA FUNILARIA E PINTURA,1,NA,2,1,17400000,351670505000048
52,4508,5,0,22,1,AVENIDA,NA,E,0,SN,QUADRA,AV 10,LOTE,12,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANCOES DA  AGUAS QUENTES,NA,6,RESTAURANTE BM,1,NA,9,2,75690000,520450805000022
31,40209,5,0,4,2,SITIO,NA,SERRINHA,0,SN,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 40 16.6260 S,42 56 56.6040 O,CAFES,NA,6,SERRALHERIA,1,NA,0,0,36608000,314020905000004
31,23205,5,0,15,2,FAZENDA,NA,GERAIS ARNALDO E RONALDO 2,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19 21 56.5620 S,45 24 17.8560 O,GERAIS,NA,3,GADO DE CORTE,NA,NA,0,0,35610000,312320505000015
42,11405,5,0,6,2,LINHA,NA,SECA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26 53 20.8440 S,52 53 58.3380 O,LINHA SECA,NA,6,QUIOSQUE,1,NA,0,0,89865000,421140505000006
26,5301,20,0,7,2,SITIO,NA,COLONIA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07 34 40.8660 S,39 44 59.1300 O,SITIO COLONIA,NA,3,CRIACAO GADO LEITEIRO,NA,NA,0,0,56230000,260530120000007
35,15186,5,0,11,1,AVENIDA,NA,NOVE DE JULHO,212,NA,FUNDOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ALFAIATARIA,1,NA,3,1,13990000,351518605000011
51,8006,5,0,5,1,AVENIDA,NA,QUATRO DE JULHO,2285,NA,PREDIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM JULIANA,NA,6,HOTEL,2,NA,15,2,78573000,510800605000005
15,6500,10,0,7,2,RAMAL,SANTA,JOANA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01 17 7.6800 S,48 05 45.8340 O,DISTRITO DE AMERICANO,NA,3,CULTIVO DEVERDURAS,NA,NA,0,0,68790000,150650010000007
